id_cliente,nome,cognome,email,telefono,indirizzo,città,CAP,paese,data_registrazione
1,Eugenia,Caracciolo,eugenia.caracciolo@libero.it,3321819600,Canale Iolanda 6,Quarto Bianca,02654,Italia,2023-06-06
2,Giampiero,Morandini,giampiero.morandini@tim.it,6155940781,Vicolo Ferrabosco 1 Appartamento 34,Borgo Stefania lido,47525,Italia,2024-04-11
3,Giacobbe,Interiano,giacobbe.interiano@libero.it,8327648350,Strada Franceschi 5 Appartamento 76,Cocci salentino,38849,Italia,2024-08-03
4,Viridiana,Piane,viridiana.piane@gmail.com,2871012269,Stretto Amato 1 Piano 5,Sesto Raffaellino ligure,04828,Italia,2023-03-22
5,Susanna,Mancini,susanna.mancini@hotmail.com,2528809570,Borgo Tina 1,Quarto Patrizia lido,27824,Italia,2025-01-04
6,Sylvia,Ramazzotti,sylvia.ramazzotti@virgilio.it,4657871331,Piazza Benedetto 0,San Amedeo,18347,Italia,2023-09-05
7,Adriana,Cherubini,adriana.cherubini@yahoo.com,3763116566,Rotonda Cantimori 338,Cimarosa veneto,47317,Italia,2025-02-08
8,Cirillo,Benussi,cirillo.benussi@hotmail.it,1326773602,Contrada Ramazzotti 8 Piano 2,Sesto Gian,98050,Italia,2022-12-24
9,Bettina,Sinisi,bettina.sinisi@hotmail.com,0812191361,Incrocio Flavia 9,Giulio del friuli,34624,Italia,2024-09-17
10,Luchino,Bonolis,luchino.bonolis@libero.it,9911838425,Viale Roberta 4 Appartamento 84,Borgo Giustino lido,82449,Italia,2023-08-31
11,Letizia,Mozart,letizia.mozart@virgilio.it,8740164005,Stretto Aloisio 128 Appartamento 59,Quarto Dionigi,45053,Italia,2025-09-01
12,Gionata,Camilleri,gionata.camilleri@gmail.com,9232260256,Piazza Segrè 375,Pina del friuli,03654,Italia,2023-01-23
13,Martina,Liguori,martina.liguori@gmail.com,8501429401,Vicolo Tornatore 693 Piano 0,Abbagnale umbro,56159,Italia,2024-02-07
14,Francesca,Cattaneo,francesca.cattaneo@vodafone.it,6564823662,Contrada Ivan 699 Piano 7,Roth terme,87214,Italia,2024-12-16
15,Francesca,Monti,francesca.monti@libero.it,4332003791,Viale Piazzi 201,Galiazzo ligure,08317,Italia,2023-05-03
16,Nina,Scarpa,nina.scarpa@hotmail.com,7986872774,Contrada Ranieri 434 Piano 5,Borgo Enzo del friuli,23166,Italia,2024-03-05
17,Alessandra,Schiaparelli,alessandra.schiaparelli@gmail.com,3669096705,Borgo Lattuada 70,Morandi terme,27298,Italia,2022-11-18
18,Panfilo,Zecchini,panfilo.zecchini@libero.it,6272046537,Contrada Bragadin 08 Appartamento 53,San Margherita a mare,30923,Italia,2023-04-22
19,Salvatore,Carocci,salvatore.carocci@yahoo.com,7452991241,Borgo Borroni 3 Appartamento 49,Settimo Melissa a mare,86518,Italia,2025-07-09
20,Massimiliano,Anastasi,massimiliano.anastasi@gmail.com,1657262849,Rotonda Govoni 473 Piano 9,Morandi a mare,52735,Italia,2023-11-13
21,Massimiliano,Lippomano,massimiliano.lippomano@tele2.it,8083136783,Contrada Gianfrancesco 34,Salvatore umbro,68557,Italia,2023-12-02
22,Liberto,Gregorio,liberto.gregorio@tiscali.it,3518233749,Contrada Gianluigi 24,Settimo Dino salentino,08427,Italia,2023-03-16
23,Sylvia,Anastasi,sylvia.anastasi@yahoo.com,7775204711,Via Paola 4,Borgo Danilo umbro,99938,Italia,2024-05-20
24,Roberto,Rubbia,roberto.rubbia@vodafone.it,4990913341,Piazza Pierangelo 97,Amedeo del friuli,47134,Italia,2025-06-04
25,Bianca,Ficino,bianca.ficino@gmail.com,8324210249,Contrada Pinamonte 88,Romiti lido,65940,Italia,2023-02-26
26,Gianmarco,Argan,gianmarco.argan@fastwebnet.it,2787429671,Canale Campano 567 Piano 6,Quarto Camillo calabro,51680,Italia,2025-07-25
27,Susanna,Venier,susanna.venier@outlook.com,0385977034,Strada Badoer 9 Appartamento 24,Settimo Pier lido,17127,Italia,2024-01-04
28,Torquato,Leblanc,torquato.leblanc@gmail.com,7378263982,Piazza Longhena 4 Piano 2,Vasari nell'emilia,58867,Italia,2024-02-19
29,Susanna,Farnese,susanna.farnese@tiscali.it,3605766270,Viale Ciro 7 Appartamento 26,San Ruggiero,59615,Italia,2025-08-20
30,Sole,Ubaldi,sole.ubaldi@gmail.com,7809134316,Piazza Beffa 04,Nico veneto,38692,Italia,2023-06-29
31,Federico,Bosurgi,federico.bosurgi@tele2.it,9379237474,Viale Matteo 4,Greggio nell'emilia,36713,Italia,2024-05-22
32,Antonietta,Oliboni,antonietta.oliboni@yahoo.com,4064090974,Vicolo Giorgio 2,San Lodovico nell'emilia,95214,Italia,2024-02-27
33,Ludovica,Prada,ludovica.prada@alice.it,2858842474,Borgo Sonia 6,Carlo veneto,48175,Italia,2025-08-18
34,Luigina,Iacobucci,luigina.iacobucci@yahoo.com,5137098593,Via Antonino 471 Appartamento 38,Quarto Rodolfo,86926,Italia,2025-07-21
35,Cirillo,Stein,cirillo.stein@tele2.it,4053773515,Borgo Castellitto 13 Appartamento 05,Borgo Michela,18393,Italia,2023-10-04
36,Marcello,Comisso,marcello.comisso@tele2.it,4228421020,Via Giustino 268 Appartamento 17,Orengo umbro,78390,Italia,2025-07-27
37,Umberto,Manzoni,umberto.manzoni@outlook.com,0766177115,Vicolo Vespucci 5,Turchetta salentino,89611,Italia,2025-07-21
38,Fernanda,Villadicani,fernanda.villadicani@virgilio.it,7365766156,Strada Burcardo 161,Paola ligure,98851,Italia,2024-07-07
39,Michelangelo,Ramazzotti,michelangelo.ramazzotti@libero.it,9451983273,Contrada Antonina 689 Appartamento 94,Borgo Guarino sardo,55022,Italia,2025-03-05
40,Flavia,Piccio,flavia.piccio@libero.it,0183667525,Via Ermenegildo 0,Sesto Rembrandt terme,79764,Italia,2023-09-07
41,Margherita,Toscani,margherita.toscani@tim.it,6149784036,Borgo Cibin 45,San Stefano sardo,22683,Italia,2024-11-23
42,Annalisa,Nolcini,annalisa.nolcini@libero.it,0607159696,Rotonda Fausto 7 Piano 1,Camuccini del friuli,96816,Italia,2024-02-01
43,Lucrezia,Morosini,lucrezia.morosini@tiscali.it,2181883552,Via Chiara 127 Piano 9,Zeffirelli terme,52717,Italia,2024-08-24
44,Elvira,Marcacci,elvira.marcacci@fastwebnet.it,5814770054,Vicolo Vismara 0 Piano 9,Sesto Claudia,82071,Italia,2024-03-24
